ID,X,Y,Name
2,-46.20306,-23.51583,Rio Tietê - Estaleiro
5,-46.595059,-23.530444,Rio Tietê - Belenzinho
6,-46.66111,-23.51632,Rio Tietê - Ponte do Limão
11,-46.516414,-23.556304,Rio Aricanduva - Av. Itaquera
137,-46.68977,-23.61511,Córrego Água Espraiada - Rua Rib. do Vale (PMSP/SA-03)
143,-46.544628,-23.61085,Rio Tamanduateí - Prosperidade
149,-46.8334194,-23.5110278,Rio Tietê - Lagoa de Carapicuíba
157,-46.547165,-23.537221,Rio Aricanduva - Foz - Rua Alfredo Frazão
168,-46.385854,-23.479425,Rio Tietê - Jardim Romano
232,-46.59167,-23.53,Rio Tietê - Ponte da Dutra
234,-47.00556,-23.39333,Rio Tietê - Barragem Pirapora Jusante
237,-46.89776,-23.39952,Rio Juqueri
252,-46.7143222,-23.5681583,Córrego Pirajuçara Foz  - Rua Moncorvo Filho (PMSP/BT-01)
273,-46.754688,-23.605517,Córrego Poá -Foz
275,-46.614164,-23.581933,Córrego Ipiranga- Rua Coronel Diogo
277,-46.709744,-23.55898,Rio Pinheiros - Ponte Cid. Universitária
279,-46.5862497846,-23.6477769426,Ribeirão dos Couros - Jd Taboão
280,-46.544318,-23.608315,Córrego Oratório - Vila Prudente
282,-46.570526,-23.458727,Córrego Cabuçu de Cima- Vila Galvão
283,-46.5994638065,-23.5821693701,Rio Tamanduateí - Vd. Pacheco Chaves
284,-46.757255,-23.568073,Córrego Jaguaré - Rua Jorge Ward
296,-46.705503,-23.509027,Rio Tietê - Ponte do Piquerí
306,-46.75235,-23.64551,Córrego Morro do S - Campo Limpo (PMSP/CL-02)
346,-46.54235,-23.50171,Rio Tietê - Barragem da Penha Montante
347,-46.741586,-23.638348,Córrego Morro do S - Rua Joaquim Nunes Teixeira
397,-46.72065,-23.644508,Rio Pinheiros - Ponte João Dias
405,-46.661257,-23.49541,Córrego Mandaqui - Rua Zilda (PMSP/CV-03)
413,-46.628423,-23.541539,Rio Tamanduateí - Mercado Municipal
498,-45.97194,-23.60028,RADAR
508,-46.42307,-23.47315,Rio Tietê - São Miguel
511,-46.56667,-23.67,Rudge Ramos
514,-46.57972,-23.725,Imigrantes(FEI)
527,-46.65892,-23.6426,Córrego Água Espraiada - Montante Piscinão (PMSP/SA-05)
528,-46.648478,-23.654099,Córrego Água Espraiada - Cabeceira (PMSP/SA-04)
563,-46.627853,-23.619963,Córrego Ipiranga - Pç. Leonor Kaupa (PMSP/IP-02)
580,-46.775824,-23.582486,Córrego Itaim  - Rua Joaquim L. Veiga (PMSP/BT-03)
589,-46.517927,-23.512793,Córrego Ponte Rasa - Rua Maria Leocadía (PMSP/PE-03)
590,-46.545977,-23.514032,Córrego Tiquatira Foz - Rua Amorim Diniz (PMSP/PE-04)
591,-46.518133,-23.515867,Córrego Franquinho - Dom Hélder Câmara (PMSP/PE-02)
620,-46.73297,-23.66615,Córrego Ponte Baixa - Rua Guilerme Valente (PMSP/MB-02)
623,-46.458218,-23.537648,Rio Verde - Rua Cunha Porã (PMSP/IQ-02)
629,-46.597368,-23.595544,Córrego Moinho Velho  - R. Dois de Julho (PMSP/IP-03)
